B,Delta,h,Sigma_D_D,Sigma_D_h,tau_sf_inv,tau_so_inv,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
-20.0,0.2650498900145188,0.0551281622367677,3.706299019866579e-06,2.1469577612031845e-06,0.0459042345571715,0.0049112310663594,0.0001815563118535,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-18.0,0.2665194691493039,0.0424713430502414,4.576514518692508e-06,2.834984256632818e-06,0.0459042345571715,0.0049112310663594,0.001815563118535,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-16.0,0.2669550827110645,0.0318545997241759,5.506669321467939e-06,3.463467409408552e-06,0.0459042345571715,0.0049112310663594,0.0,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-14.0,0.2651290562761975,0.0256357978771755,3.2526283663137183e-06,3.8233387587218284e-06,0.0459042345571715,0.0049112310663594,0.0014524535408195,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-12.0,0.2646053720585207,0.0362901073047631,2.023649945765283e-06,2.2519067522575945e-06,0.0459042345571715,0.0049112310663594,0.0,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-9.9999999999999,0.2684093141929706,0.0808499405293699,2.362895946998472e-06,1.1802187731058316e-06,0.0459042345571715,0.0049112310663594,0.0,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-8.0,0.2733449859223339,0.1069590206014019,2.213059280753665e-06,1.0301385083190066e-06,0.0459042345571715,0.0049112310663594,0.0023602320540957,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-6.0,0.2772364548524008,0.1177210672812448,2.2551300835218364e-06,7.702383681415443e-07,0.0459042345571715,0.0049112310663594,0.000363112623707,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-4.0,0.2776641931369545,0.1249779017663298,2.168761773861254e-06,8.942456600797002e-07,0.0459042345571715,0.0049112310663594,0.0047204641081914,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
-2.0,0.279068044055892,0.131373871021552,1.9450383387992632e-06,7.807259063919718e-07,0.0459042345571715,0.0049112310663594,0.0021786757422421,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
0.0,0.2812262580177662,0.1350799377118999,2.270019812658877e-06,6.803866654425378e-07,0.0459042345571715,0.0049112310663594,0.0023602320540957,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
