magnet_bpar	lockin_1_ResX	lockin_2_ResX	lockin_3_ResX	lockin_4_ResX	lockin_5_ResX
-0.105	10769.488662	5775.0441134	0.14374544435	28.165100957	16.143411631
-0.10375	10769.06696	5774.4085789	-0.029710216154	30.12571251	17.030046729
-0.1025	10770.120472	5774.2383331	-0.071636776511	27.335260529	15.230232384
-0.10125	10770.491511	5774.1399854	-0.4140531928	29.966857983	17.660472076
-0.1	10768.856853	5774.6440172	-0.3903558536	27.279401547	16.436292208
-0.09875	10768.772662	5774.2040604	-0.10744258816	29.344123323	17.16347906
-0.0975	10769.07739	5774.67978	0.14887209545	31.162347295	16.596587375
-0.09625	10769.154131	5774.5605707	-0.19415645056	29.54484662	16.97466214
-0.095	10768.987238	5774.7215033	-0.36446917875	29.826530954	16.846052313
-0.09375	10769.128799	5774.4652033	-0.72810885285	28.148127603	16.726000467
-0.0925	10769.256204	5775.7355273	-0.64973555709	29.157745303	15.273113968
